now, expect, last_fin, now-expect, now-last_fin
8492693113915447, 8492693113738778, 8492693103738853, 176669, 10176594
8492693123892205, 8492693123738778, 8492693113928873, 153427, 9963332
8492693133938825, 8492693133738778, 8492693123906508, 200047, 10032317
8492693143898098, 8492693143738778, 8492693133956563, 159320, 9941535
8492693153946124, 8492693153738778, 8492693143912683, 207346, 10033441
8492693163938796, 8492693163738778, 8492693153966327, 200018, 9972469
8492693173939793, 8492693173738778, 8492693163961993, 201015, 9977800
8492693183943988, 8492693183738778, 8492693173963310, 205210, 9980678
8492693193941537, 8492693193738778, 8492693183967702, 202759, 9973835
8492693203943999, 8492693203738778, 8492693193965381, 205221, 9978618
8492693213947826, 8492693213738778, 8492693203968370, 209048, 9979456
8492693223946201, 8492693223738778, 8492693213972067, 207423, 9974134
8492693233945721, 8492693233738778, 8492693223970568, 206943, 9975153
8492693243949142, 8492693243738778, 8492693233970159, 210364, 9978983
8492693253949400, 8492693253738778, 8492693243973569, 210622, 9975831
8492693263946716, 8492693263738778, 8492693253973874, 207938, 9972842
8492693273948424, 8492693273738778, 8492693263971077, 209646, 9977347
8492693283947195, 8492693283738778, 8492693273972865, 208417, 9974330
8492693293946681, 8492693293738778, 8492693283971699, 207903, 9974982
8492693303947106, 8492693303738778, 8492693293971005, 208328, 9976101
8492693313949527, 8492693313738778, 8492693303971533, 210749, 9977994
8492693323949024, 8492693323738778, 8492693313973955, 210246, 9975069
8492693333950005, 8492693333738778, 8492693323973349, 211227, 9976656
8492693343948389, 8492693343738778, 8492693333974333, 209611, 9974056
8492693353951934, 8492693353738778, 8492693343972816, 213156, 9979118
8492693363950607, 8492693363738778, 8492693353976448, 211829, 9974159
8492693373950182, 8492693373738778, 8492693363974978, 211404, 9975204
8492693383952275, 8492693383738778, 8492693373974663, 213497, 9977612
8492693393949089, 8492693393738778, 8492693383976802, 210311, 9972287
8492693403950021, 8492693403738778, 8492693393973597, 211243, 9976424
8492693413953641, 8492693413738778, 8492693403974455, 214863, 9979186
8492693423949728, 8492693423738778, 8492693413977956, 210950, 9971772
8492693433952760, 8492693433738778, 8492693423973946, 213982, 9978814
8492693443954572, 8492693443738778, 8492693433977307, 215794, 9977265
8492693453952560, 8492693453738778, 8492693443978967, 213782, 9973593
8492693463953208, 8492693463738778, 8492693453976871, 214430, 9976337
8492693473955386, 8492693473738778, 8492693463977652, 216608, 9977734
8492693483956802, 8492693483738778, 8492693473979837, 218024, 9976965
8492693493952684, 8492693493738778, 8492693483981096, 213906, 9971588
8492693503951797, 8492693503738778, 8492693493976978, 213019, 9974819
8492693513953452, 8492693513738778, 8492693503976178, 214674, 9977274
8492693523958133, 8492693523738778, 8492693513977659, 219355, 9980474
8492693533956761, 8492693533738778, 8492693523982517, 217983, 9974244
8492693543956654, 8492693543738778, 8492693533981025, 217876, 9975629
8492693553957328, 8492693553738778, 8492693543981148, 218550, 9976180
8492693563956150, 8492693563738778, 8492693553981649, 217372, 9974501
8492693573955929, 8492693573738778, 8492693563980720, 217151, 9975209
8492693583957557, 8492693583738778, 8492693573980173, 218779, 9977384
8492693593955968, 8492693593738778, 8492693583981834, 217190, 9974134
8492693603956182, 8492693603738778, 8492693593980382, 217404, 9975800
8492693613957926, 8492693613738778, 8492693603980630, 219148, 9977296
8492693623957230, 8492693623738778, 8492693613982450, 218452, 9974780
8492693633959111, 8492693633738778, 8492693623981644, 220333, 9977467
8492693643960141, 8492693643738778, 8492693633983472, 221363, 9976669
8492693653959465, 8492693653738778, 8492693643984548, 220687, 9974917
8492693663959640, 8492693663738778, 8492693653983899, 220862, 9975741
8492693673958946, 8492693673738778, 8492693663984044, 220168, 9974902
8492693683959744, 8492693683738778, 8492693673983427, 220966, 9976317
8492693693961092, 8492693693738778, 8492693683999672, 222314, 9961420
8492693703960140, 8492693703738778, 8492693693985750, 221362, 9974390
8492693713963076, 8492693713738778, 8492693703984694, 224298, 9978382
8492693723961938, 8492693723738778, 8492693713987620, 223160, 9974318
8492693733965532, 8492693733738778, 8492693723986485, 226754, 9979047
8492693743960755, 8492693743738778, 8492693733990070, 221977, 9970685
8492693753962020, 8492693753738778, 8492693743985402, 223242, 9976618
8492693763961544, 8492693763738778, 8492693753986590, 222766, 9974954
8492693773962600, 8492693773738778, 8492693763986135, 223822, 9976465
8492693783961245, 8492693783738778, 8492693773987151, 222467, 9974094
